variable_name,model,context,lr_f1_avg,lr_f1_std,lr_f1_max,rf_f1_avg,rf_f1_std,rf_f1_max,hgbc_f1_avg,hgbc_f1_std,hgbc_f1_max,mlp_f1_avg,mlp_f1_std,mlp_f1_max,emb_type,layer,best_model,best_model_f1_performance,best_model_f1_std
embed_conc_l8_labert,labert,concordance,0.5386876114321666,0.014415666419947995,0.5541417474129525,0.32628612856105194,0.016132933853813553,0.35590125406678125,0.42204468057370936,0.013846044881040834,0.44947804156978016,0.5524438065534566,0.012796564018006567,0.574231528566871,contextual,8.0,mlp,0.5524438065534566,0.012796564018006567
embed_conc_l9_labert,labert,concordance,0.5227947681285772,0.014608467370353886,0.5437591272800861,0.3193981475329043,0.017736170608356833,0.3417866962187998,0.4130795789134529,0.02598221738010814,0.4597885994172226,0.5256875328072772,0.013404658905783622,0.5411295701233158,contextual,9.0,mlp,0.5256875328072772,0.013404658905783622
embed_conc_l10_labert,labert,concordance,0.5336960140008541,0.01324630177798475,0.5623417130695259,0.34357733626200154,0.020418217552091424,0.3691557929634362,0.4381174483506364,0.012489708493869982,0.45380281784002463,0.5378287371582323,0.011039650072841082,0.5542240776589226,contextual,10.0,mlp,0.5378287371582323,0.011039650072841082
embed_conc_l11_labert,labert,concordance,0.5839806893913104,0.012095099922726189,0.5991957845144021,0.3900383571769556,0.016889790538790757,0.4157931584021813,0.5149046548193661,0.011527437551806095,0.5311416832891461,0.5860269799215775,0.0097498041495675,0.599570774026013,contextual,11.0,mlp,0.5860269799215775,0.0097498041495675
embed_l9_labert_wsd,labert_wsd,sentence,0.5352031321872445,0.017226229037153352,0.5629534214301846,0.39542582273776394,0.02392334217245369,0.42652918616789415,0.46364207107789535,0.02105515064377017,0.4905817357757751,0.5270684028469113,0.016269626376661312,0.5538832446435172,contextual,9.0,lr,0.5352031321872445,0.017226229037153352
embed_l10_labert_wsd,labert_wsd,sentence,0.5433574295895538,0.01626717788480464,0.5689558710705062,0.3985280105121397,0.015122281515126967,0.42486366797883024,0.466593979374495,0.0197761011422072,0.4874563467310387,0.5421042980982893,0.019628014766599026,0.5812222647987153,contextual,10.0,lr,0.5433574295895538,0.01626717788480464
embed_l11_labert_wsd,labert_wsd,sentence,0.5780257600482025,0.012847659739052527,0.597396086164303,0.4360754286443916,0.01961457829582853,0.45972954832511376,0.502461114261472,0.020884509247214328,0.5340941927593877,0.580288515754006,0.013690577142301479,0.6043819456784766,contextual,11.0,mlp,0.580288515754006,0.013690577142301479
embed_conc_l9_labert_wsd,labert_wsd,concordance,0.5255366432393404,0.017146096202755635,0.5475178872792746,0.32608398104643077,0.028824065077361863,0.36551407196051383,0.42250040780038745,0.016415214877897637,0.452186452679843,0.5330656588158611,0.011963490383235008,0.5488223743623929,contextual,9.0,mlp,0.5330656588158611,0.011963490383235008
embed_conc_l10_labert_wsd,labert_wsd,concordance,0.5342418480066782,0.014705176544362623,0.5633789554137386,0.34796101557568493,0.01271887729897411,0.3685868843338039,0.45022388505856237,0.013796108550558775,0.4674617048192593,0.5398083870200027,0.011940238079128442,0.5528300477202851,contextual,10.0,mlp,0.5398083870200027,0.011940238079128442
embed_conc_l11_labert_wsd,labert_wsd,concordance,0.5883866598301197,0.013233706330486941,0.6033760851229176,0.39491838361835585,0.018302386713068667,0.42260789292957085,0.5147603948246233,0.013259596075705753,0.5377842461124424,0.5951848651036185,0.010641098635333052,0.6091599360742306,contextual,11.0,mlp,0.5951848651036185,0.010641098635333052
att_l7_xlmr_raw_embed,xlmr,sentence,0.09887597707728625,0.0014270937273506048,0.10095052739139716,0.5534201434375912,0.008864499252983951,0.5647841013661442,0.42132721986258137,0.017624233311783682,0.442202661668033,0.5178350639703215,0.01121280057932086,0.5417205615294216,attention_raw,7.0,rf,0.5534201434375912,0.008864499252983951
att_l8_xlmr_raw_embed,xlmr,sentence,0.09315167730996013,0.0013789523520439696,0.0946308139967395,0.5612276995958292,0.012133022051250657,0.5847684652606698,0.4215517265290183,0.016658262490964047,0.45344291637131723,0.510222223321869,0.011993960158505615,0.5238489519418479,attention_raw,8.0,rf,0.5612276995958292,0.012133022051250657
